rock,electronic,hiphop,classical,jazz,country,y_pred,y_true,index,audio_path
2.428835e-05,0.00020370298,0.89891905,0.047901943,0.0048340526,0.048116975,electronic,hiphop,20322,/project_data_source/free_music_archive/fma_medium/099/099073.mp3
1.0519301e-05,1.3343463e-05,0.00287862,0.00013692482,6.416938e-05,0.9968964,rock,rock,9763,/project_data_source/free_music_archive/fma_medium/006/006734.mp3
1.0766678e-05,2.9559867e-06,5.6929143e-06,0.004979865,7.982424e-07,0.995,rock,rock,8651,/project_data_source/gtzan_dataset/Data/genres_original/metal/metal.00060.wav
0.00010354648,4.6455107e-06,0.2538585,0.7080402,0.00017655306,0.037816558,hiphop,hiphop,22224,/project_data_source/free_music_archive/fma_medium/119/119970.mp3
0.0003033566,0.00035722894,0.09605579,0.013258983,0.0067433957,0.8832813,rock,rock,42476,/project_data_source/free_music_archive/fma_large/090/090806.mp3
8.194018e-06,1.7186817e-06,0.94689155,0.0073752287,6.370912e-05,0.045659587,electronic,electronic,41775,/project_data_source/free_music_archive/fma_large/084/084621.mp3
3.2231328e-05,2.3807155e-05,0.07198233,0.026694078,0.00012860076,0.90113896,rock,rock,14135,/project_data_source/free_music_archive/fma_medium/043/043959.mp3
6.514405e-06,5.5545465e-06,0.01662159,0.029979479,6.953332e-05,0.95331734,rock,electronic,32918,/project_data_source/free_music_archive/fma_large/033/033458.mp3
0.00013349156,0.0075220456,0.23565981,0.5804239,0.056657217,0.119603515,hiphop,electronic,16995,/project_data_source/free_music_archive/fma_medium/066/066929.mp3
2.9652803e-05,0.9990325,0.000112324975,7.968182e-06,0.00011832684,0.0006992062,country,country,8258,/project_data_source/gtzan_dataset/Data/genres_original/country/country.00066.wav
4.8229103e-05,1.0973182e-06,0.03665888,0.9628915,2.1532065e-05,0.00037875643,hiphop,hiphop,46824,/project_data_source/free_music_archive/fma_large/130/130444.mp3
0.0006661256,0.002126615,0.02428442,0.0024386635,0.01400177,0.9564824,rock,rock,28595,/project_data_source/free_music_archive/fma_large/011/011088.mp3
7.081907e-05,0.00021219873,0.0114501845,0.0008774034,0.0018807433,0.9855086,rock,rock,42719,/project_data_source/free_music_archive/fma_large/093/093596.mp3
7.7626655e-06,1.146196e-06,0.008333094,5.3561216e-05,5.5245728e-05,0.99154913,rock,rock,41508,/project_data_source/free_music_archive/fma_large/082/082838.mp3
5.950955e-05,6.3428895e-05,0.009870381,7.9997255e-05,1.4694206e-05,0.989912,rock,electronic,21769,/project_data_source/free_music_archive/fma_medium/115/115612.mp3
1.8533903e-05,1.0491673e-06,0.95735174,0.04235303,3.3460901e-06,0.0002722714,electronic,hiphop,7804,/project_data_source/free_music_archive/fma_small/147/147269.mp3
0.000350935,0.00027126318,0.4003247,0.47524095,0.0037257557,0.12008637,hiphop,rock,21223,/project_data_source/free_music_archive/fma_medium/110/110424.mp3
1.0348236e-05,6.409337e-06,0.24098955,0.0036923843,1.2075621e-06,0.75530005,rock,rock,20539,/project_data_source/free_music_archive/fma_medium/102/102185.mp3
0.0004129572,0.0009309325,0.23153389,0.015970958,0.0050651976,0.7460861,rock,rock,30246,/project_data_source/free_music_archive/fma_large/019/019467.mp3
0.00078122044,0.0015594614,0.025178315,0.008488762,0.0026332845,0.96135896,rock,jazz,9134,/project_data_source/free_music_archive/fma_medium/001/001023.mp3
4.779586e-07,5.929235e-08,0.009332264,0.00012174121,1.2609693e-06,0.9905442,rock,rock,20535,/project_data_source/free_music_archive/fma_medium/102/102179.mp3
1.6453024e-06,1.4342264e-06,0.97448707,0.0043449267,1.7061702e-05,0.021147884,electronic,electronic,18988,/project_data_source/free_music_archive/fma_medium/085/085073.mp3
1.0887559e-05,0.0018897715,0.008283383,0.00018296225,0.004108824,0.9855241,rock,rock,17909,/project_data_source/free_music_archive/fma_medium/072/072735.mp3
1.1538064e-06,1.0531658e-06,0.0146065205,0.9820135,0.00023982348,0.003137972,hiphop,hiphop,5770,/project_data_source/free_music_archive/fma_small/119/119993.mp3
